,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,City
112,0,AR,2019-01-11 20:00:00,42,-45.87,-67.48,19,6.7,Comodoro Rivadavia
113,0,AU,2019-01-11 20:00:00,12,-25.24,130.99,40,5.1,Yulara
114,20,MV,2019-01-11 20:26:14,100,5.77,73.38,27.64,3.81,Manadhoo
116,0,ZA,2019-01-11 20:26:15,83,-33.59,26.89,19.39,10.06,Port Alfred
117,48,BR,2019-01-11 20:26:15,92,-10.65,-68.5,23.79,1.01,Xapuri
118,1,US,2019-01-11 19:55:00,60,46.19,-123.83,10,3.1,Astoria
119,88,FO,2019-01-11 19:50:00,87,62.23,-6.59,7,11.3,Klaksvik
120,80,PY,2019-01-11 20:26:16,82,-26.98,-56.83,25.61,1.76,San Patricio
121,0,CY,2019-01-11 20:00:00,76,34.81,32.42,9.58,3.6,Emba
122,24,ID,2019-01-11 20:26:17,100,4.14,96.13,27.11,1.21,Meulaboh
123,90,CL,2019-01-11 20:00:00,100,-42.48,-73.76,12,4.1,Castro
124,36,AR,2019-01-11 20:26:18,42,-46.43,-67.52,18.79,9.16,Mar del Plata
125,0,BR,2019-01-11 20:00:00,69,2.82,-60.67,26,3.6,Boa Vista
126,64,BR,2019-01-11 20:26:19,77,-11.75,-44.91,22.06,1.16,Riachao das Neves
127,40,CO,2019-01-11 20:00:00,68,4.16,-76.29,22,0.61,Riofrio
128,0,ES,2019-01-11 20:00:00,41,38.18,-1.13,3,3.1,Fortuna
129,92,NI,2019-01-11 20:26:21,86,12.92,-85.84,18.91,1.31,San Ramon
130,0,ET,2019-01-11 20:25:28,54,3.94,41.86,17.94,2.21,Mandera
131,90,AU,2019-01-11 20:00:00,78,-16.99,145.42,28,3.6,Mareeba
132,40,CA,2019-01-11 20:00:00,72,65.28,-126.83,-40,1,Norman Wells
133,20,PT,2019-01-11 19:30:00,77,38.52,-28.7,15,7.7,Ribeira Grande
134,75,BR,2019-01-11 20:00:00,78,-6.97,-34.84,26,3.6,Cabedelo
135,20,RU,2019-01-11 20:24:29,100,64.42,-173.23,-24.02,8.01,Provideniya
136,75,GL,2019-01-11 19:50:00,55,60.72,-46.03,3,11.3,Qaqortoq
